item_id,item_name,category,quantity,unit_price,supplier,location,last_restock_date,minimum_stock,description
INV001,Office Chair - Ergonomic,Furniture,15,129.99,Office Supplies Co.,Warehouse A,2025-03-12,5,"Adjustable ergonomic office chair with lumbar support"
INV002,Desk Lamp - LED,Office Supplies,23,34.5,Lighting Solutions Inc.,Warehouse B,2025-03-18,10,"Energy-efficient LED desk lamp with adjustable brightness"
INV003,Printer Paper - A4,Office Supplies,150,4.99,Paper World,Storage Room C,2025-03-25,50,"500 sheets of A4 printer paper, 80gsm"
INV004,Laptop - 15" Business Model,Electronics,7,899,Tech Solutions Ltd.,Secure Storage D,2025-02-28,3,"15-inch business laptop with 16GB RAM and 512GB SSD"
INV005,Ballpoint Pens - Blue,Stationery,200,0.75,Office Supplies Co.,Storage Room C,2025-03-15,50,"Medium-point blue ballpoint pens, box of 50"
INV006,Whiteboard - Large,Office Equipment,5,89.99,Office Innovations,Warehouse A,2025-02-10,2,"90x120cm magnetic whiteboard with aluminum frame"
INV007,Hand Sanitizer - 500ml,Health & Safety,42,6.99,Health Essentials,Storage Room C,2025-03-20,15,"70% alcohol hand sanitizer, 500ml pump bottle"
INV008,Wireless Mouse,Electronics,18,24.99,Tech Solutions Ltd.,Storage Room C,2025-03-05,5,"Ergonomic wireless mouse with adjustable DPI"
INV009,Filing Cabinet - 4-Drawer,Furniture,3,159.99,Office Supplies Co.,Warehouse A,2025-01-15,1,"4-drawer metal filing cabinet with lock"
INV010,Notebook - A5 Spiral,Stationery,75,3.49,Paper World,Storage Room C,2025-03-10,25,"A5 spiral-bound notebook, 80 sheets, lined paper"
INV011,Monitor - 24" LED,Electronics,12,189.99,Tech Solutions Ltd.,Secure Storage D,2025-02-20,4,"24-inch Full HD LED monitor with HDMI/DisplayPort"
INV012,Stapler - Heavy Duty,Office Supplies,8,12.99,Office Supplies Co.,Storage Room C,2025-03-01,3,"Heavy-duty desktop stapler, 100-sheet capacity"
INV013,Conference Table,Furniture,2,349.99,Office Innovations,Warehouse A,2025-01-20,1,"8-person oval conference table, walnut finish"
INV014,Webcam - HD,Electronics,9,59.99,Tech Solutions Ltd.,Storage Room C,2025-03-15,3,"1080p HD webcam with built-in microphone"
INV015,Paper Clips - Box,Stationery,60,1.99,Office Supplies Co.,Storage Room C,2025-03-22,20,"Box of 100 metal paper clips, 28mm"
INV016,First Aid Kit,Health & Safety,12,29.99,Health Essentials,Various Locations,2025-02-25,5,"Comprehensive first aid kit for office emergencies"
INV017,Coffee Machine - Pro,Appliances,3,249.99,Kitchen Supplies Inc.,Break Room,2025-01-30,1,"Professional coffee machine with grinder and milk frother"
INV018,Desk Organizer,Office Supplies,25,15.49,Office Supplies Co.,Storage Room C,2025-03-18,10,"Multi-compartment mesh desk organizer"
INV019,Wireless Keyboard,Electronics,14,45.99,Tech Solutions Ltd.,Storage Room C,2025-03-05,5,"Slim wireless keyboard with numeric keypad"
INV020,Water Dispenser,Appliances,4,179.99,Kitchen Supplies Inc.,Break Room,2025-02-15,1,"Hot and cold water dispenser with bottle storage"
```